#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 321178:7048 | 08/13/18 06:57:22 | 74   | 74   | 0.023596124    | 0.023034517   |
| 321218:7052 | 08/13/18 12:13:49 | 914  | 914  | 0.296324865    | 0.282500585   |
| 321219:7052 | 08/13/18 18:10:44 | 934  | 930  | 0.186823392    | 0.181189493   |
| 321221:7052 | 08/14/18 00:13:21 | 40   | 40   | 0.006038613    | 0.005906206   |
| 321230:7053 | 08/14/18 03:33:41 | 84   | 81   | 0.033383349    | 0.022670378   |
| 321231:7053 | 08/14/18 04:09:24 | 59   | 59   | 0.024679614    | 0.014523657   |
| 321232:7053 | 08/14/18 04:36:11 | 30   | 24   | 0.012116499    | 0.006057920   |
| 321233:7053 | 08/14/18 04:47:55 | 727  | 727  | 0.238948586    | 0.231852526   |
| 321262:7054 | 08/14/18 12:50:07 | 4    | 4    | 0.001737787    | 0.001669120   |
| 321283:7055 | 08/14/18 15:05:56 | 310  | 310  | 0.124953463    | 0.119780879   |
| 321294:7055 | 08/14/18 17:35:51 | 62   | 62   | 0.022067521    | 0.020610486   |
| 321295:7055 | 08/14/18 18:01:35 | 739  | 734  | 0.209792577    | 0.201490287   |
| 321296:7055 | 08/14/18 22:55:44 | 56   | 56   | 0.012397914    | 0.011876596   |
| 321305:7056 | 08/15/18 02:02:21 | 2628 | 2628 | 0.622179623    | 0.601904551   |
| 321311:7056 | 08/15/18 20:48:28 | 10   | 10   | 0.000941655    | 0.000473243   |
| 321312:7056 | 08/15/18 20:55:17 | 768  | 761  | 0.062021388    | 0.060265688   |
| 321313:7056 | 08/16/18 01:55:17 | 408  | 408  | 0.026959409    | 0.026586081   |
| 321393:7058 | 08/17/18 05:32:36 | 142  | 138  | 0.053402746    | 0.049689179   |
| 321396:7058 | 08/17/18 06:29:54 | 1475 | 1469 | 0.379270802    | 0.365018162   |
| 321397:7058 | 08/17/18 16:06:23 | 365  | 365  | 0.053675056    | 0.052262513   |
| 321414:7061 | 08/17/18 21:14:10 | 1253 | 1243 | 0.397518533    | 0.380801771   |
| 321415:7061 | 08/18/18 05:21:19 | 804  | 804  | 0.146243466    | 0.142213696   |
| 321431:7063 | 08/18/18 13:51:46 | 160  | 153  | 0.061700328    | 0.055907925   |
| 321432:7063 | 08/18/18 14:54:29 | 47   | 47   | 0.018178671    | 0.016577963   |
| 321433:7063 | 08/18/18 15:15:09 | 125  | 125  | 0.045595448    | 0.042731538   |
| 321434:7063 | 08/18/18 16:07:00 | 642  | 642  | 0.187641856    | 0.180882406   |
| 321436:7063 | 08/18/18 20:20:52 | 710  | 710  | 0.142079561    | 0.138441929   |
| 321457:7065 | 08/19/18 07:38:11 | 1845 | 1844 | 0.501869422    | 0.482761896   |
| 321461:7065 | 08/19/18 19:38:10 | 149  | 149  | 0.021566306    | 0.021013094   |
| 321475:7069 | 08/20/18 01:30:43 | 2028 | 2028 | 0.488689788    | 0.471912521   |
| 321710:7078 | 08/23/18 13:20:08 | 57   | 52   | 0.019916100    | 0.017235399   |
| 321712:7078 | 08/23/18 13:42:14 | 247  | 247  | 0.087886196    | 0.084378140   |
| 321730:7080 | 08/23/18 21:10:55 | 289  | 286  | 0.113480669    | 0.102670881   |
| 321732:7080 | 08/23/18 23:11:04 | 1412 | 1407 | 0.359089366    | 0.344691952   |
| 321735:7080 | 08/24/18 08:33:27 | 146  | 146  | 0.024345227    | 0.023661290   |
| 321755:7083 | 08/24/18 13:48:50 | 693  | 686  | 0.223340210    | 0.213437556   |
| 321758:7083 | 08/24/18 18:21:07 | 157  | 152  | 0.039833717    | 0.037517590   |
| 321760:7083 | 08/24/18 19:44:52 | 805  | 805  | 0.150632665    | 0.146153421   |
| 321773:7087 | 08/25/18 12:11:58 | 55   | 55   | 0.022124395    | 0.021058783   |
| 321774:7087 | 08/25/18 12:43:49 | 117  | 117  | 0.045889276    | 0.043723139   |
| 321775:7087 | 08/25/18 13:36:11 | 13   | 13   | 0.004960631    | 0.004807240   |
| 321776:7087 | 08/25/18 13:57:38 | 33   | 30   | 0.012074290    | 0.010304681   |
| 321777:7087 | 08/25/18 14:14:59 | 187  | 187  | 0.063976900    | 0.058616866   |
| 321778:7087 | 08/25/18 16:07:27 | 143  | 136  | 0.041864239    | 0.036058295   |
| 321780:7087 | 08/25/18 17:04:57 | 481  | 481  | 0.116933559    | 0.113674716   |
| 321781:7087 | 08/25/18 20:38:11 | 380  | 380  | 0.070570108    | 0.068009102   |
| 321813:7090 | 08/26/18 09:20:15 | 321  | 321  | 0.125075552    | 0.120243809   |
| 321815:7090 | 08/26/18 12:01:16 | 23   | 23   | 0.007776365    | 0.005120206   |
| 321817:7090 | 08/26/18 12:20:00 | 536  | 536  | 0.153547752    | 0.148473508   |
| 321818:7090 | 08/26/18 15:50:06 | 690  | 690  | 0.142889883    | 0.138015405   |
| 321820:7090 | 08/26/18 20:26:15 | 214  | 214  | 0.032880906    | 0.032068958   |
| 321831:7091 | 08/27/18 00:10:22 | 757  | 752  | 0.260552615    | 0.248042890   |
| 321832:7091 | 08/27/18 05:06:22 | 497  | 494  | 0.120948418    | 0.115961844   |
| 321833:7091 | 08/27/18 08:27:00 | 407  | 398  | 0.078421037    | 0.074190773   |
| 321834:7091 | 08/27/18 11:05:28 | 333  | 333  | 0.051569711    | 0.049809506   |
| 321879:7092 | 08/27/18 17:57:43 | 274  | 265  | 0.099029586    | 0.090170659   |
| 321880:7092 | 08/27/18 20:01:46 | 130  | 130  | 0.042742253    | 0.041375820   |
| 321887:7095 | 08/28/18 01:04:04 | 895  | 895  | 0.287810036    | 0.276941304   |
| 321908:7097 | 08/28/18 13:40:10 | 430  | 426  | 0.157077882    | 0.145314737   |
| 321909:7097 | 08/28/18 16:31:34 | 1653 | 1653 | 0.351568812    | 0.340569377   |
| 321917:7098 | 08/29/18 05:24:24 | 798  | 798  | 0.271675031    | 0.261219957   |
| 321919:7098 | 08/29/18 10:38:52 | 6    | 6    | 0.001642874    | 0.001488823   |
| 321933:7099 | 08/29/18 14:09:13 | 282  | 282  | 0.104891275    | 0.101007248   |
| 321960:7101 | 08/29/18 21:26:49 | 30   | 24   | 0.010561135    | 0.007304486   |
| 321961:7101 | 08/29/18 21:43:01 | 354  | 354  | 0.138272961    | 0.132126192   |
| 321973:7105 | 08/30/18 09:44:30 | 1213 | 1208 | 0.374403083    | 0.358666936   |
| 321975:7105 | 08/30/18 17:37:18 | 866  | 866  | 0.150778733    | 0.145783784   |
| 321988:7108 | 08/31/18 03:56:29 | 1333 | 1329 | 0.400732262    | 0.384021716   |
| 321990:7108 | 08/31/18 13:16:37 | 471  | 471  | 0.083326865    | 0.081031948   |
| 322013:7109 | 08/31/18 18:44:38 | 9    | 9    | 0.002365163    | 0.001146111   |
| 322014:7109 | 08/31/18 18:52:10 | 17   | 17   | 0.007087789    | 0.006669868   |
| 322022:7110 | 08/31/18 21:02:55 | 1749 | 1749 | 0.469842949    | 0.452968644   |
| 322040:7112 | 09/01/18 11:09:06 | 39   | 39   | 0.014437023    | 0.013692424   |
| 322057:7114 | 09/01/18 20:28:32 | 21   | 21   | 0.008912977    | 0.008235478   |
| 322068:7117 | 09/02/18 02:40:56 | 674  | 674  | 0.243731161    | 0.232599447   |
| 322079:7118 | 09/02/18 11:24:26 | 360  | 360  | 0.146804255    | 0.140244760   |
| 322106:7120 | 09/02/18 21:40:43 | 824  | 824  | 0.292892361    | 0.281859052   |
| 322113:7122 | 09/03/18 06:37:14 | 112  | 108  | 0.045109377    | 0.040789720   |
| 322118:7122 | 09/03/18 07:20:37 | 861  | 861  | 0.278951041    | 0.268228934   |
| 322179:7123 | 09/03/18 16:39:51 | 1739 | 1739 | 0.487940057    | 0.469749616   |
| 322201:7124 | 09/04/18 05:55:39 | 228  | 222  | 0.092966449    | 0.084335391   |
| 322204:7124 | 09/04/18 07:24:58 | 1136 | 1136 | 0.325525462    | 0.311166308   |
| 322222:7124 | 09/04/18 14:53:45 | 526  | 526  | 0.096306016    | 0.092744223   |
| 322252:7125 | 09/04/18 20:29:20 | 1545 | 1545 | 0.439089321    | 0.420357700   |
| 322317:7127 | 09/05/18 12:01:44 | 54   | 54   | 0.020269615    | 0.019245910   |
| 322319:7127 | 09/05/18 12:25:29 | 163  | 161  | 0.064542608    | 0.055502234   |
| 322322:7127 | 09/05/18 13:29:27 | 1109 | 1107 | 0.303949681    | 0.292464047   |
| 322324:7127 | 09/05/18 21:27:53 | 416  | 416  | 0.071323290    | 0.069259748   |
| 322332:7128 | 09/06/18 02:11:56 | 1019 | 1019 | 0.326773150    | 0.313995681   |
| 322348:7131 | 09/06/18 13:43:39 | 1466 | 1466 | 0.430051125    | 0.414112209   |
| 322355:7132 | 09/07/18 01:05:42 | 102  | 99   | 0.037208861    | 0.033876145   |
| 322356:7132 | 09/07/18 01:45:19 | 779  | 779  | 0.242598280    | 0.234583361   |
| 322381:7133 | 09/07/18 11:10:32 | 533  | 533  | 0.186111260    | 0.178729681   |
| 322407:7135 | 09/07/18 17:47:22 | 537  | 537  | 0.178564202    | 0.169958460   |
| 322430:7137 | 09/08/18 01:19:19 | 456  | 456  | 0.161448020    | 0.156140903   |
| 322431:7137 | 09/08/18 06:34:56 | 1108 | 1108 | 0.221535497    | 0.214230370   |
| 322480:7139 | 09/08/18 17:33:13 | 349  | 341  | 0.120568733    | 0.109337400   |
| 322492:7139 | 09/08/18 20:56:03 | 1386 | 1386 | 0.297741084    | 0.287515085   |
| 322510:7142 | 09/09/18 08:32:39 | 9    | 9    | 0.002497753    | 0.002228890   |
| 322599:7144 | 09/09/18 15:58:47 | 252  | 252  | 0.100548692    | 0.094350581   |
| 322602:7144 | 09/09/18 17:40:01 | 70   | 69   | 0.026159410    | 0.024109024   |
| 322603:7144 | 09/09/18 18:08:09 | 10   | 10   | 0.003641608    | 0.002693892   |
| 322605:7144 | 09/09/18 18:13:23 | 280  | 280  | 0.093444700    | 0.089623887   |
| 322617:7144 | 09/09/18 21:12:33 | 601  | 601  | 0.141694463    | 0.136645564   |
| 322625:7145 | 09/10/18 03:32:10 | 1120 | 1120 | 0.347816656    | 0.335273291   |
| 322633:7145 | 09/10/18 10:51:34 | 249  | 249  | 0.052624689    | 0.050945617   |
| 323414:7213 | 09/24/18 01:51:16 | 46   | 40   | 0.008131694    | 0.006204142   |
| 323423:7213 | 09/24/18 05:01:48 | 136  | 136  | 0.022299813    | 0.021037074   |
| 323470:7217 | 09/24/18 13:47:51 | 222  | 221  | 0.084712102    | 0.080200218   |
| 323471:7217 | 09/24/18 15:18:19 | 238  | 232  | 0.082436125    | 0.075495647   |
| 323472:7217 | 09/24/18 16:50:41 | 64   | 64   | 0.020335972    | 0.019315198   |
| 323473:7217 | 09/24/18 17:40:41 | 227  | 227  | 0.063902526    | 0.054519627   |
| 323474:7217 | 09/24/18 19:42:20 | 355  | 352  | 0.080980634    | 0.077807771   |
| 323475:7217 | 09/24/18 22:00:42 | 77   | 77   | 0.014812315    | 0.014194080   |
| 323487:7218 | 09/25/18 03:28:20 | 451  | 451  | 0.161053632    | 0.154166173   |
| 323488:7218 | 09/25/18 06:30:08 | 750  | 745  | 0.194248291    | 0.186197456   |
| 323492:7218 | 09/25/18 11:45:43 | 33   | 30   | 0.007113401    | 0.005823197   |
| 323493:7218 | 09/25/18 11:58:37 | 144  | 140  | 0.029067788    | 0.027375069   |
| 323495:7218 | 09/25/18 12:54:31 | 187  | 187  | 0.033597040    | 0.032346526   |
| 323524:7221 | 09/25/18 22:36:20 | 537  | 531  | 0.181580849    | 0.172934401   |
| 323525:7221 | 09/26/18 02:05:25 | 1121 | 1117 | 0.252436128    | 0.242648282   |
| 323526:7221 | 09/26/18 09:22:43 | 462  | 462  | 0.066501059    | 0.064950697   |
| 323693:7234 | 09/29/18 01:47:30 | 114  | 114  | 0.042896577    | 0.040083352   |
| 323696:7234 | 09/29/18 02:33:10 | 257  | 257  | 0.093142024    | 0.088847729   |
| 323702:7234 | 09/29/18 08:56:34 | 808  | 808  | 0.150177767    | 0.145958433   |
| 323725:7236 | 09/29/18 18:38:39 | 329  | 329  | 0.125225614    | 0.118533090   |
| 323726:7236 | 09/29/18 20:49:58 | 60   | 53   | 0.020845884    | 0.014606471   |
| 323727:7236 | 09/29/18 21:13:04 | 971  | 971  | 0.255954811    | 0.246903637   |
| 323755:7239 | 09/30/18 11:17:44 | 929  | 929  | 0.308086666    | 0.296639246   |
| 323775:7240 | 09/30/18 19:49:18 | 132  | 129  | 0.050237375    | 0.046767743   |
| 323778:7240 | 09/30/18 20:41:26 | 934  | 934  | 0.282906951    | 0.270935867   |
| 323790:7242 | 10/01/18 07:35:02 | 904  | 900  | 0.291159392    | 0.276737455   |
| 323794:7242 | 10/01/18 13:29:17 | 68   | 68   | 0.016768359    | 0.016056603   |
| 323841:7245 | 10/01/18 23:32:02 | 465  | 464  | 0.163054429    | 0.155038205   |
| 323857:7245 | 10/02/18 02:35:30 | 357  | 357  | 0.098889061    | 0.095513180   |
| 323940:7252 | 10/03/18 01:12:47 | 1519 | 1519 | 0.447438312    | 0.426706208   |
| 323954:7252 | 10/03/18 11:06:37 | 77   | 77   | 0.015712808    | 0.015140930   |
| 323976:7253 | 10/03/18 14:01:34 | 55   | 47   | 0.020256628    | 0.014398816   |
| 323978:7253 | 10/03/18 14:23:01 | 73   | 68   | 0.029041461    | 0.021951778   |
| 323980:7253 | 10/03/18 14:51:36 | 202  | 199  | 0.073990026    | 0.067731897   |
| 323983:7253 | 10/03/18 16:11:58 | 188  | 187  | 0.060945214    | 0.056791397   |
| 323997:7253 | 10/03/18 17:30:39 | 498  | 498  | 0.134603845    | 0.128791789   |
| 324021:7256 | 10/04/18 01:48:39 | 776  | 772  | 0.269170714    | 0.252485124   |
| 324022:7256 | 10/04/18 06:50:15 | 554  | 554  | 0.131866343    | 0.127785561   |
| 324077:7259 | 10/04/18 22:20:56 | 699  | 699  | 0.252291564    | 0.242582801   |
| 324201:7264 | 10/06/18 23:58:19 | 1364 | 1355 | 0.379381568    | 0.362857357   |
| 324202:7264 | 10/07/18 08:48:52 | 240  | 238  | 0.040414765    | 0.039241165   |
| 324205:7264 | 10/07/18 10:31:04 | 163  | 160  | 0.024102133    | 0.022963460   |
| 324206:7264 | 10/07/18 11:38:14 | 149  | 141  | 0.020128867    | 0.017522834   |
| 324207:7264 | 10/07/18 12:44:24 | 34   | 33   | 0.004321332    | 0.004054579   |
| 324209:7264 | 10/07/18 13:02:20 | 142  | 142  | 0.016389579    | 0.016078704   |
| 324237:7265 | 10/07/18 21:29:58 | 204  | 204  | 0.078673755    | 0.074991780   |
| 324245:7266 | 10/08/18 01:31:07 | 1659 | 1659 | 0.433797729    | 0.417199145   |
| 324293:7270 | 10/08/18 23:08:14 | 2302 | 2302 | 0.530791728    | 0.513035432   |
| 324315:7271 | 10/09/18 16:26:19 | 202  | 202  | 0.075285745    | 0.070436667   |
| 324318:7271 | 10/09/18 17:53:42 | 332  | 332  | 0.104566045    | 0.099840257   |
| 324420:7274 | 10/11/18 00:24:57 | 625  | 625  | 0.209585307    | 0.199727029   |
| 324729:7308 | 10/16/18 09:28:04 | 193  | 193  | 0.015342787    | 0.014796593   |
| 324747:7309 | 10/16/18 12:56:26 | 1077 | 1073 | 0.323997971    | 0.308246151   |
| 324764:7309 | 10/16/18 19:54:47 | 150  | 147  | 0.032682085    | 0.030065379   |
| 324765:7309 | 10/16/18 20:52:50 | 481  | 478  | 0.090961980    | 0.087679541   |
| 324769:7309 | 10/16/18 23:59:45 | 328  | 328  | 0.047990107    | 0.046770044   |
| 324772:7309 | 10/17/18 02:48:00 | 165  | 165  | 0.019188224    | 0.018782623   |
| 324785:7310 | 10/17/18 06:16:27 | 588  | 583  | 0.195026054    | 0.185797535   |
| 324791:7310 | 10/17/18 10:04:47 | 1217 | 1217 | 0.252929117    | 0.245007227   |
| 324835:7314 | 10/17/18 22:30:14 | 259  | 257  | 0.096575059    | 0.085856011   |
| 324840:7314 | 10/18/18 00:41:14 | 96   | 93   | 0.032246794    | 0.027721689   |
| 324841:7314 | 10/18/18 01:18:35 | 1347 | 1347 | 0.312608874    | 0.301008029   |
| 324846:7314 | 10/18/18 10:06:07 | 515  | 515  | 0.070651043    | 0.068552956   |
| 324878:7315 | 10/18/18 16:07:07 | 1734 | 1734 | 0.417945642    | 0.403016934   |
| 324897:7317 | 10/19/18 06:41:04 | 141  | 141  | 0.053284044    | 0.050228783   |
| 324970:7320 | 10/19/18 15:42:39 | 2183 | 2183 | 0.497971963    | 0.479465581   |
| 324980:7321 | 10/20/18 08:16:24 | 2263 | 2263 | 0.535219638    | 0.513294960   |
| 324997:7324 | 10/21/18 04:34:58 | 122  | 116  | 0.045104915    | 0.038586760   |
| 324998:7324 | 10/21/18 05:23:14 | 368  | 362  | 0.123296024    | 0.114235368   |
| 324999:7324 | 10/21/18 07:47:04 | 14   | 14   | 0.004195108    | 0.003883479   |
| 325000:7324 | 10/21/18 08:03:55 | 371  | 371  | 0.098210765    | 0.094663582   |
| 325001:7324 | 10/21/18 10:29:40 | 592  | 592  | 0.123406774    | 0.119138042   |
| 325022:7328 | 10/21/18 21:10:37 | 1550 | 1550 | 0.447816048    | 0.433385704   |
| 325057:7331 | 10/22/18 14:07:34 | 342  | 342  | 0.126567801    | 0.120048335   |
| 325097:7333 | 10/22/18 21:19:15 | 57   | 57   | 0.021191792    | 0.017770097   |
| 325098:7333 | 10/22/18 21:46:04 | 8    | 8    | 0.003173569    | 0.002038523   |
| 325099:7333 | 10/22/18 21:50:54 | 394  | 388  | 0.147887864    | 0.139170738   |
| 325100:7333 | 10/23/18 00:24:31 | 254  | 254  | 0.078922825    | 0.074467205   |
| 325101:7333 | 10/23/18 02:07:46 | 484  | 482  | 0.123196766    | 0.118270296   |
| 325110:7333 | 10/23/18 05:48:34 | 21   | 16   | 0.004525356    | 0.003259474   |
| 325117:7333 | 10/23/18 07:38:21 | 533  | 533  | 0.088380256    | 0.085612498   |
| 325159:7334 | 10/23/18 14:38:00 | 219  | 213  | 0.068879378    | 0.061439969   |
| 325168:7334 | 10/23/18 16:09:33 | 21   | 18   | 0.006441940    | 0.004288854   |
| 325169:7334 | 10/23/18 16:19:28 | 23   | 23   | 0.006960291    | 0.005577620   |
| 325170:7334 | 10/23/18 16:31:17 | 1204 | 1203 | 0.272648042    | 0.263142487   |
| 325172:7334 | 10/24/18 00:22:14 | 484  | 475  | 0.071416491    | 0.068142514   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+--------+--------+-------------------+------------------+
| nfill | nrun | nls    | ncms   | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+--------+--------+-------------------+------------------+
| 196   | 478  | 234186 | 233794 | 62.223541022      | 59.740565202     |
+-------+------+--------+--------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
